Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Percentile in Subject Area,Journal Impact Factor
WOS:000470820500032,10.1007/s00705-019-04247-4,MEDLINE:31089958,Taxonomy of the order Mononegavirales: update 2019,"Amarasinghe, Gaya K.; Ayllon, Maria A.; Bao, Yiming; Basler, Christopher F.; Bavari, Sina; Blasdell, Kim R.; Briese, Thomas; Brown, Paul A.; Bukreyev, Alexander; Balkema-Buschmann, Anne; Buchholz, Ursula J.; Chabi-Jesus, Camila; Chandran, Kartik; Chiapponi, Chiara; Crozier, Ian; de Swart, Rik L.; Dietzgen, Ralf G.; Dolnik, Olga; Drexler, Jan F.; Duerrwald, Ralf; Dundon, William G.; Duprex, W. Paul; Dye, John M.; Easton, Andrew J.; Fooks, Anthony R.; Formenty, Pierre B. H.; Fouchier, Ron A. M.; Freitas-Astua, Juliana; Griffiths, Anthony; Hewson, Roger; Horie, Masayuki; Hyndman, Timothy H.; Jiang, Daohong; Kitajima, Elliott W.; Kobinger, Gary P.; Kondo, Hideki; Kurath, Gael; Kuzmin, Ivan V.; Lamb, Robert A.; Lavazza, Antonio; Lee, Benhur; Lelli, Davide; Leroy, Eric M.; Li, Jianrong; Maes, Piet; Marzano, Shin-Yi L.; Moreno, Ana; Muhlberger, Elke; Netesov, Sergey V.; Nowotny, Norbert; Nylund, Are; Okland, Arnfinn L.; Palacios, Gustavo; Palyi, Bernadett; Paweska, Janusz T.; Payne, Susan L.; Prosperi, Alice; Ramos-Gonzalez, Pedro Luis; Rima, Bertus K.; Rota, Paul; Rubbenstroth, Dennis; Shi, Mang; Simmonds, Peter; Smither, Sophie J.; Sozzi, Enrica; Spann, Kirsten; Stenglein, Mark D.; Stone, David M.; Takada, Ayato; Tesh, Robert B.; Tomonaga, Keizo; Tordo, Noel; Towner, Jonathan S.; van den Hoogen, Bernadette; Vasilakis, Nikos; Wahl, Victoria; Walker, Peter J.; Wang, Lin-Fa; Whitfield, Anna E.; Williams, John V.; Zerbini, F. Murilo; Zhang, Tao; Zhang, Yong-Zhen; Kuhn, Jens H.",ARCHIVES OF VIROLOGY,VIROLOGY,Article,164,7,1967-1980,2019,48,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000470820500032,2.093301,3.23,22.93,14.8748,0.2138,2.243
WOS:000459742400005,10.3390/cells8010005,MEDLINE:30577576,Perspective: Mitochondria-ER Contacts in Metabolic Cellular Stress Assessed by Microscopy,"Stacchiotti, Alessandra; Favero, Gaia; Lavazza, Antonio; Garcia-Gomez, Raquel; Monsalve, Maria; Rezzani, Rita",CELLS,CELL BIOLOGY,Article,8,1,n/a,2019,8,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000459742400005,2.983789,5.15,2.68,1.5537,18.7818,4.366
WOS:000456344900032,10.1111/tbed.13012,MEDLINE:30179314,MAb-based competitive ELISA for the detection of antibodies against influenza D virus,"Moreno, Ana; Lelli, Davide; Lavazza, Antonio; Sozzi, Enrica; Zanni, Irene; Chiapponi, Chiara; Foni, Emanuela; Capucci, Lorenzo; Brocchi, Emiliana",TRANSBOUNDARY AND EMERGING DISEASES,VETERINARY SCIENCES; INFECTIOUS DISEASES,Article,66,1,268-276,2019,6,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000456344900032,3.489247,1.9,1.72,3.1581,5.1662,4.188
WOS:000455322600002,10.7589/2017-07-172,MEDLINE:30284963,RECENT CHANGES IN INFECTIOUS DISEASES IN EUROPEAN WILDLIFE,"Yon, Lisa; Duff, J. Paul; Agren, Erik O.; Erdelyi, Karoly; Ferroglio, Ezio; Godfroid, Jacques; Hars, Jean; Hestvik, Gete; Horton, Daniel; Kuiken, Thijs; Lavazza, Antonio; Markowska-Daniel, Iwona; Martel, An; Neimanis, Aleksija; Pasmans, Frank; Price, Stephen J.; Ruiz-Fons, Francisco; Ryser-Degiorgis, Marie-Pierre; Widen, Frederik; Gavier-Widen, Dolores",JOURNAL OF WILDLIFE DISEASES,VETERINARY SCIENCES,Review,55,1,3-43,2019,5,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000455322600002,3.0,3.06,1.67,1.6362,21.4912,1.187
WOS:000475308000041,10.3390/v11060523,MEDLINE:31174292,Surveillance for Adenoviruses in Bats in Italy,"Diakoudi, Georgia; Lanave, Gianvito; Moreno, Ana; Chiapponi, Chiara; Sozzi, Enrica; Prosperi, Alice; Larocca, Vittorio; Losurdo, Michele; Decaro, Nicola; Martella, Vito; Lavazza, Antonio; Lelli, Davide",VIRUSES-BASEL,VIROLOGY,Article,11,6,n/a,2019,4,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000475308000041,2.682448,3.23,1.49,1.2396,29.3983,3.816
WOS:000475292700013,10.1038/s41598-019-46565-2,MEDLINE:31300700,Detection of replicative Kashmir Bee Virus and Black Queen Cell Virus in Asian hornet Vespa velutina (Lepelieter 1836) in Italy,"Mazzei, Maurizio; Cilia, Giovanni; Forzan, Mario; Lavazza, Antonio; Mutinelli, Franco; Felicioli, Antonio",SCIENTIFIC REPORTS,ENTOMOLOGY,Article,9,n/a,n/a,2019,3,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000475292700013,2.889191,1.76,1.04,1.7021,23.1718,3.998
WOS:000461534600010,10.1016/j.vetmic.2019.01.012,MEDLINE:30827408,Host range of mammalian orthoreovirus type 3 widening to alpine chamois,"Besozzi, Martina; Lauzi, Stefania; Lelli, Davide; Lavazza, Antonio; Chiapponi, Chiara; Pisoni, Giuliano; Vigano, Roberto; Lanfranchi, Paolo; Luzzago, Camilla",VETERINARY MICROBIOLOGY,VETERINARY SCIENCES; MICROBIOLOGY,Article,230,n/a,72-77,2019,2,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000461534600010,2.487952,1.99,0.8,1.0045,31.626,3.03
WOS:000482731200002,10.4404/hystrix-00146-2018,n/a,The Eastern cottontail (Sylvilagus floridanus) in Tuscany (Central Italy): weak evidence for its role as a host of EBHSV and RHDV,"d'Angelo, Alessio; Cerri, Jacopo; Cavadini, Patrizia; Lavazza, Antonio; Capucci, Lorenzo; Ferretti, Marco",HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,ZOOLOGY,Article,30,1,8-11,2019,1,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000482731200002,1.04,1.46,0.96,0.6865,57.3645,1.449
WOS:000475308000086,10.3390/v11060568,MEDLINE:31248065,Hypsugopoxvirus: A Novel Poxvirus Isolated from Hypsugo savii in Italy,"Lelli, Davide; Lavazza, Antonio; Prosperi, Alice; Sozzi, Enrica; Faccin, Francesca; Baioni, Laura; Trogu, Tiziana; Cavallari, Gian Luca; Mauri, Matteo; Gibellini, Anna Maria; Chiapponi, Chiara; Moreno, Ana",VIRUSES-BASEL,VIROLOGY,Article,11,6,n/a,2019,1,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000475308000086,2.682448,3.23,0.37,0.3099,76.8479,3.816
WOS:000506894800084,10.3390/v11121142,MEDLINE:31835549,Molecular Survey and Phylogenetic Analysis of Atypical Porcine Pestivirus (APPV) Identified in Swine and Wild Boar from Northern Italy,"Sozzi, Enrica; Salogni, Cristian; Lelli, Davide; Barbieri, Ilaria; Moreno, Ana; Alborali, Giovanni Loris; Lavazza, Antonio",VIRUSES-BASEL,VIROLOGY,Article,11,12,n/a,2019,0,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000506894800084,2.682448,3.23,0.0,0.0,100.0,3.816
WOS:000489103800112,10.3390/cells8091053,MEDLINE:31500354,Melatonin Effects on Non-Alcoholic Fatty Liver Disease Are Related to MicroRNA-34a-5p/Sirt1 Axis and Autophagy,"Stacchiotti, Alessandra; Grossi, Ilaria; Garcia-Gomez, Raquel; Patel, Gaurangkumar Arvindbhai; Salvi, Alessandro; Lavazza, Antonio; De Petro, Giuseppina; Monsalve, Maria; Rezzani, Rita",CELLS,CELL BIOLOGY,Article,8,9,n/a,2019,0,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000489103800112,2.983789,5.15,0.0,0.0,100.0,4.366
WOS:000482993900008,10.3390/v11080744,MEDLINE:31412585,Isolation and Full-Length Sequence Analysis of a Pestivirus from Aborted Lamb Fetuses in Italy,"Sozzi, Enrica; Lavazza, Antonio; Gaffuri, Alessandra; Bencetti, Fabio Carlo; Prosperi, Alice; Lelli, Davide; Chiapponi, Chiara; Moreno, Ana",VIRUSES-BASEL,VIROLOGY,Article,11,8,n/a,2019,0,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000482993900008,2.682448,3.23,0.0,0.0,100.0,3.816

Filter Summary:
Dataset: InCites Dataset + ESCI
Schema:  Web of Science
"Time Period:  [2019, 2019]"
Affiliated Organization:  [IZS Lombardia e Emilia]

"Exported date  Nov 26, 2020. "
"InCites dataset updated  2020-11-25. Includes Web of Science content indexed through 2020-10-31. "
