"","settore","prova","tecnica","Esami"
"1","Alimenti Uomo","Antibiogramma","Diffusione in agar",1
"2","Alimenti Uomo","Attività dell'acqua (Aw)","Punto di rugiada",135
"3","Alimenti Uomo","Bacillus cereus presunto","Microbiologica",16
"4","Alimenti Uomo","Campylobacter spp.","Microbiologica",2
"5","Alimenti Uomo","Campylobacter spp.","PCR Real Time",85
"6","Alimenti Uomo","Clostridi anaerobi solfito riduttori (spore e forme vegetative)","Microbiologica",3
"7","Alimenti Uomo","Clostridi anaerobi solfito riduttori (spore)","Microbiologica",2
"8","Alimenti Uomo","Clostridium perfringens","Microbiologica",18
"9","Alimenti Uomo","Coliformi","Microbiologica a 30°C",3
"10","Alimenti Uomo","Coliformi","Microbiologica a 37°C",5
"11","Alimenti Uomo","Coliformi totali acqua","MF (Membrana Filtrante)",157
"12","Alimenti Uomo","Enterobacteriaceae","Microbiologica a 30°C",38
"13","Alimenti Uomo","Enterobacteriaceae","Microbiologica a 37°C",465
"14","Alimenti Uomo","Enterococchi acqua (Streptococchi fecali)","MF (Membrana Filtrante)",168
"15","Alimenti Uomo","Esame batteriologico latte (1 terreno colturale)","Microbiologica",1
"16","Alimenti Uomo","Esame batteriologico latte (agar sangue + TKT)","Microbiologica",1
"17","Alimenti Uomo","Esame batteriologico latte (ricerca Streptococcus agalactiae)","Microbiologica (TKT)",99
"18","Alimenti Uomo","Esame ispettivo","Ispettiva",7
"19","Alimenti Uomo","Escherichia coli","MF (Membrana Filtrante)",169
"20","Alimenti Uomo","Escherichia coli beta glucuronidasi positivi","Microbiologica",459
"21","Alimenti Uomo","Lieviti","Microbiologica",2
"22","Alimenti Uomo","Listeria monocytogenes","Microbiologica",999
"23","Alimenti Uomo","Listeria monocytogenes","MPN",225
"24","Alimenti Uomo","Listeria monocytogenes","PCR Real Time",1043
"25","Alimenti Uomo","Microrganismi","Microbiologica a 30°C",570
"26","Alimenti Uomo","Microrganismi acqua","Microbiologica a 22°C",9
"27","Alimenti Uomo","Microrganismi acqua","Microbiologica a 36°C",9
"28","Alimenti Uomo","Motivazione di inidoneità campione","Multipla",0
"29","Alimenti Uomo","Motivi di mancata esecuzione di prove richieste","Multipla",0
"30","Alimenti Uomo","Muffe","Microbiologica",9
"31","Alimenti Uomo","Note alle prove","Multipla",0
"32","Alimenti Uomo","pH","Potenziometrico",146
"33","Alimenti Uomo","Pseudomonas spp.","Microbiologica",1
"34","Alimenti Uomo","Salmonella spp.","Microbiologica",347
"35","Alimenti Uomo","Salmonella spp.","PCR Real Time",1604
"36","Alimenti Uomo","Sostanze inibenti","Kit pronto uso",1
"37","Alimenti Uomo","Sostanze inibenti","Microbiologica B. subtilis",85
"38","Alimenti Uomo","Sostanze inibenti Penicillina/Sulfamidico","Kit+ P.asi e PABA",84
"39","Alimenti Uomo","Stafilococchi coagulasi-positivi","Microbiologica a 37°C",501
"40","Alimenti Uomo","Trichinella","Microscopica (digestione artificiale)",3232
"41","Alimenti Uomo","Trichinella (equidi)","Microscopica (digestione artificiale)",653
"42","Alimenti Uomo","Trichinella (suidi mac.industriale)","Microscopica (digestione artificiale)",28448
"43","Alimenti Zootecnici","Clostridi anaerobi solfito riduttori (spore)","Microbiologica",8
"44","Alimenti Zootecnici","Coliformi totali acqua","MF (Membrana Filtrante)",1
"45","Alimenti Zootecnici","Enterobacteriaceae","Microbiologica a 37°C",861
"46","Alimenti Zootecnici","Enterococchi acqua (Streptococchi fecali)","MF (Membrana Filtrante)",1
"47","Alimenti Zootecnici","Escherichia coli","MF (Membrana Filtrante)",1
"48","Alimenti Zootecnici","Note alle prove","Multipla",0
"49","Alimenti Zootecnici","Salmonella spp.","Microbiologica",135
"50","Alimenti Zootecnici","Salmonella spp.","PCR Real Time",772
"51","Altri Controlli (cosmetici,ambientali..)","Coliformi totali acqua","MF (Membrana Filtrante)",1
"52","Altri Controlli (cosmetici,ambientali..)","Enterococchi acqua (Streptococchi fecali)","MF (Membrana Filtrante)",13
"53","Altri Controlli (cosmetici,ambientali..)","Escherichia coli","MF (Membrana Filtrante)",13
"54","Altri Controlli (cosmetici,ambientali..)","Microrganismi acqua","Microbiologica a 22°C",4
"55","Altri Controlli (cosmetici,ambientali..)","Microrganismi acqua","Microbiologica a 36°C",4
"56","Controlli Interni Sistema Qualità","Attività dell'acqua (Aw)","Punto di rugiada",8
"57","Controlli Interni Sistema Qualità","Bacillus cereus presunto","Microbiologica",9
"58","Controlli Interni Sistema Qualità","BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte","ELISA competitiva (kit IDEXX )",5
"59","Controlli Interni Sistema Qualità","BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus","ELISA competitiva (kit IDEXX )",40
"60","Controlli Interni Sistema Qualità","Brucella abortus/melitensis: anticorpi","FdC",45
"61","Controlli Interni Sistema Qualità","Brucella abortus/melitensis: anticorpi","SAR",158
"62","Controlli Interni Sistema Qualità","Brucella abortus/melitensis: anticorpi nel latte di bovino","ELISA (kit ID VET)",150
"63","Controlli Interni Sistema Qualità","BVD: anticorpi anti-NS2-3","ELISA (kit IZS-BS)",40
"64","Controlli Interni Sistema Qualità","Campylobacter spp.","Microbiologica",9
"65","Controlli Interni Sistema Qualità","Campylobacter spp.","PCR Real Time",7
"66","Controlli Interni Sistema Qualità","Campylobacter spp. - Conta delle colonie","Microbiologica",21
"67","Controlli Interni Sistema Qualità","Clostridi anaerobi solfito riduttori (spore e forme vegetative)","Microbiologica",1
"68","Controlli Interni Sistema Qualità","Clostridi anaerobi solfito riduttori (spore)","Microbiologica",8
"69","Controlli Interni Sistema Qualità","Clostridium perfringens","Microbiologica",9
"70","Controlli Interni Sistema Qualità","Coliformi","Microbiologica a 30°C",2
"71","Controlli Interni Sistema Qualità","Coliformi","Microbiologica a 37°C",9
"72","Controlli Interni Sistema Qualità","Coliformi totali acqua","MF (Membrana Filtrante)",11
"73","Controlli Interni Sistema Qualità","Controllo efficacia trattamento termico","Microbiologica",54
"74","Controlli Interni Sistema Qualità","Enterobacteriaceae","Microbiologica a 37°C",11
"75","Controlli Interni Sistema Qualità","Enterococchi acqua (Streptococchi fecali)","MF (Membrana Filtrante)",11
"76","Controlli Interni Sistema Qualità","Esame batteriologico latte (ricerca Streptococcus agalactiae)","Microbiologica (TKT)",36
"77","Controlli Interni Sistema Qualità","Escherichia coli","MF (Membrana Filtrante)",11
"78","Controlli Interni Sistema Qualità","Escherichia coli beta glucuronidasi positivi","Microbiologica",11
"79","Controlli Interni Sistema Qualità","Lieviti","Microbiologica",2
"80","Controlli Interni Sistema Qualità","Listeria monocytogenes","Microbiologica",18
"81","Controlli Interni Sistema Qualità","Listeria monocytogenes","MPN",9
"82","Controlli Interni Sistema Qualità","Listeria monocytogenes","PCR Real Time",6
"83","Controlli Interni Sistema Qualità","Listeria spp.","Microbiologica",1
"84","Controlli Interni Sistema Qualità","Microrganismi","Microbiologica a 30°C",159
"85","Controlli Interni Sistema Qualità","Microrganismi acqua","Microbiologica a 22°C",20
"86","Controlli Interni Sistema Qualità","Microrganismi acqua","Microbiologica a 36°C",9
"87","Controlli Interni Sistema Qualità","Muffe","Microbiologica",2
"88","Controlli Interni Sistema Qualità","Note alle prove","Multipla",0
"89","Controlli Interni Sistema Qualità","pH","Potenziometrico",10
"90","Controlli Interni Sistema Qualità","Pseudomonas spp.","Microbiologica",1
"91","Controlli Interni Sistema Qualità","Pseudomonas spp. presunto","Microbiologica",1
"92","Controlli Interni Sistema Qualità","Salmonella spp.","Microbiologica",9
"93","Controlli Interni Sistema Qualità","Salmonella spp.","PCR Real Time",7
"94","Controlli Interni Sistema Qualità","Sostanze inibenti","Kit pronto uso",80
"95","Controlli Interni Sistema Qualità","Sostanze inibenti Penicillina/Sulfamidico","Kit+ P.asi e PABA",1
"96","Controlli Interni Sistema Qualità","Stafilococchi coagulasi-positivi","Microbiologica a 37°C",42
"97","Controlli Interni Sistema Qualità","Taylorella equigenitalis/CEM: agente eziologico","Microbiologica",12
"98","Controlli Interni Sistema Qualità","Trichinella","Microscopica (digestione artificiale)",4
"99","Sanità Animale","Acari della Rogna","Microscopica a fresco KOH",3
"100","Sanità Animale","Agalassia contagiosa da Myc.agalactiae: anticorpi","ELISA (kit IDEXX)",4290
"101","Sanità Animale","Antibiogramma","Diffusione in agar",432
"102","Sanità Animale","BHV1/Rinotracheite Infettiva Bovina: Ab x gE del virus nel latte","ELISA competitiva (kit IDEXX )",1750
"103","Sanità Animale","BHV1/Rinotracheite Infettiva Bovina:anticorpi verso gE del virus","ELISA competitiva (kit IDEXX )",28057
"104","Sanità Animale","Brucella abortus/melitensis/suis: anticorpi","ELISA competitiva (kit SVANOVIR)",68
"105","Sanità Animale","Brucella abortus/melitensis: anticorpi","FdC",44792
"106","Sanità Animale","Brucella abortus/melitensis: anticorpi","SAR",722
"107","Sanità Animale","Brucella abortus/melitensis: anticorpi nel latte di bovino","ELISA (kit ID VET)",1529
"108","Sanità Animale","Brucella spp.: agente eziologico","Microbiologica",35
"109","Sanità Animale","Brucellosi da B. abortus/melitensis: anticorpi","FdC",8
"110","Sanità Animale","BVD: anticorpi anti-NS2-3","ELISA (kit IZS-BS)",1312
"111","Sanità Animale","Campylobacter termotolleranti","Microbiologica",3
"112","Sanità Animale","Dermatofiti/Saprolegnia spp.: agente eziologico","Microbiologica",5
"113","Sanità Animale","Esame anatomopatologico animali di taglia grande","Anatomopatologica",3
"114","Sanità Animale","Esame anatomopatologico animali di taglia medio-grande","Anatomopatologica",70
"115","Sanità Animale","Esame anatomopatologico animali di taglia medio-piccola","Anatomopatologica",220
"116","Sanità Animale","Esame anatomopatologico animali piccola taglia (all.industriali)","Anatomopatologica",3065
"117","Sanità Animale","Esame batteriologico","Microbiologica",534
"118","Sanità Animale","Esame batteriologico latte (1 terreno colturale)","Microbiologica",267
"119","Sanità Animale","Esame batteriologico latte (agar globuli esculina + BP/RPF)","Microbiologica",1
"120","Sanità Animale","Esame batteriologico latte (agar globuli esculina)","Microbiologica",731
"121","Sanità Animale","Esame batteriologico latte (agar sangue)","Microbiologica",536
"122","Sanità Animale","Esame batteriologico latte (ricerca Stafilococco coagulasi +)","Microbiologica (Baird Parker + RPF modificato)",1710
"123","Sanità Animale","Esame batteriologico latte (ricerca Streptococcus agalactiae)","Microbiologica (TKT)",2036
"124","Sanità Animale","Esame batteriologico latte (terreno enterobatteri)","Microbiologica",1
"125","Sanità Animale","Esame ispettivo","Ispettiva",35
"126","Sanità Animale","Esame parassitologico","Microscopica a fresco",30
"127","Sanità Animale","Esame parassitologico","Microscopica dopo flottazione",115
"128","Sanità Animale","Esame parassitologico","Microscopica dopo sedimentazione",16
"129","Sanità Animale","Esame parassitologico con conta","Microscopica (tecnica di Mc Master)",444
"130","Sanità Animale","Febbre Q da Coxiella burnetii: anticorpi","ELISA (kit ID VET)",641
"131","Sanità Animale","Invio ad altri laboratori","Multipla",0
"132","Sanità Animale","Larve di parassiti","Microscopica (tecnica di Baerman)",223
"133","Sanità Animale","Leucosi Bovina Enzootica: anticorpi","ELISA (kit IZS-BS)",29569
"134","Sanità Animale","Motivazione di inidoneità campione","Multipla",0
"135","Sanità Animale","Motivi di mancata esecuzione di prove richieste","Multipla",0
"136","Sanità Animale","Mycobacterium avium subs paratuberculosis: anticorpi","ELISA conferma (kit ID VET)",65
"137","Sanità Animale","Mycobacterium avium subs paratuberculosis: anticorpi","ELISA conferma (kit IDEXX)",502
"138","Sanità Animale","Mycobacterium avium subs paratuberculosis: anticorpi","ELISA screening (kit ID VET)",2449
"139","Sanità Animale","Mycobacterium avium subs paratuberculosis: anticorpi","ELISA screening (kit IDEXX)",29115
"140","Sanità Animale","Mycoplasma spp. (latte): agente eziologico","Microbiologica",4
"141","Sanità Animale","Mycoplasma spp. (mammiferi): agente eziologico","Microbiologica",3
"142","Sanità Animale","Neospora caninum: anticorpi","ELISA (kit ID VET)",3758
"143","Sanità Animale","Note alle prove","Multipla",0
"144","Sanità Animale","Oocisti di Cryptosporidium: agente eziologico","Microscopica",84
"145","Sanità Animale","Prototheca spp.","Microbiologica",213
"146","Sanità Animale","Prototheca spp. campioni latte","Microbiologica",18
"147","Sanità Animale","Salmonella spp.","Microbiologica",177
"148","Sanità Animale","Salmonella spp. in pool","Microbiologica",21
"149","Sanità Animale","Sostanze inibenti","Kit pronto uso",5
"150","Sanità Animale","Sostanze inibenti","Microbiologica B. subtilis",58
"151","Sanità Animale","Taylorella equigenitalis/CEM: agente eziologico","Microbiologica",246
"152","Sanità Animale","Trichinella","Microscopica (digestione artificiale)",913
